merchant_id,bank_account_number,bank,description,type,registered_capital,industry,operating_status,establishment_date,legal_representative_id
c000333,A017033,5286314,Medium chain restaurant offering regional Chinese cuisine and takeaway services,Medium,15000000,Food & Beverage,Active,2018/5/10,p016358
c000334,A017134,1265934,Medium chain of coffee shops and bakeries,Medium,12000000,Food & Beverage,Active,2017/11/8,p013677
c000335,A017135,3581974,Medium Food & Beverage company operating a popular chain of family-style restaurants,Medium,18500000,Food & Beverage,Active,2015/8/22,p010466
c000336,A017236,1398427,Medium Food & Beverage company operating a regional chain of sit-down family restaurants,Medium,28000000,Food & Beverage,Active,2015/11/8,p007908
c000337,A017237,4871609,Medium restaurant chain specializing in regional Chinese cuisine,Medium,18000000,Food & Beverage,Active,2017/11/3,p016475
c000338,A017338,4693725,Medium chain restaurant offering specialty regional cuisine and beverages,Medium,18500000,Food & Beverage,Active,2017/11/8,p008067
c000339,A017339,3071954,Medium chain restaurant offering casual dining and regional specialties,Medium,15000000,Food & Beverage,Active,2017/8/11,p008168
c000340,A017440,2367901,Medium Food & Beverage company operating a regional chain of fast-casual noodle restaurants,Medium,25000000,Food & Beverage,Active,2016/8/11,p007725
c000341,A017441,2046713,Medium-sized fast-casual restaurant chain serving Asian cuisine,Medium,18000000,Food & Beverage,Active,2017/8/22,p009653
c000342,A017542,1047286,Medium chain store specializing in home furnishings and decor,Medium,28000000,Retail,Active,2017/11/8,p010760
c000343,A017543,2198345,Small street vendor selling baozi and jianbing,Small,1500000,Food & Beverage,Active,2021/8/10,p011044
c000344,A017644,4528071,Medium chain restaurant offering fast food and beverages,Medium,20000000,Food & Beverage,Active,2018/5/10,p015583
c000345,A017645,4693725,Medium-sized restaurant offering local cuisine and catering services,Medium,15000000,Food & Beverage,Active,2018/5/22,p007416
c000346,A017746,3295718,Medium retail chain specializing in outdoor equipment and apparel,Medium,15000000,Retail,Active,2016/8/22,p012496
c000347,A017747,4693725,Medium chain restaurant serving regional Chinese cuisine,Medium,18000000,Food & Beverage,Active,2018/7/22,p017074
c000348,A017848,1047286,Medium Food & Beverage company operating a regional chain of casual dining restaurants,Medium,25000000,Food & Beverage,Active,2015/11/3,p015585
c000349,A017849,4027316,Medium chain restaurant specializing in regional Chinese cuisine,Medium,20000000,Food & Beverage,Active,2015/8/22,p007700
c000350,A017950,5472906,Small Food & Beverage company operating a neighborhood bubble tea and snack stall,Small,1200000,Food & Beverage,Active,2021/7/10,p012724
c000351,A017951,2367901,Medium Food & Beverage company operating a regional chain of fast-casual noodle restaurants,Medium,25000000,Food & Beverage,Active,2015/6/18,p013568
c000352,A018052,5472906,Medium sized regional restaurant chain specializing in Sichuan cuisine,Medium,18000000,Food & Beverage,Active,2016/11/3,p015766
c000353,A018053,1872056,Medium Food & Beverage company operating a chain of casual dining restaurants,Medium,15000000,Food & Beverage,Active,2018/6/10,p012576
c000354,A018154,1265934,Medium Food & Beverage chain offering regional specialty dishes,Medium,18000000,Food & Beverage,Active,2018/5/11,p011354
c000355,A018155,3186407,Medium-sized restaurant chain specializing in regional Chinese cuisine,Medium,25000000,Food & Beverage,Active,2016/7/11,p009769
c000356,A018256,2486137,Medium Food & Beverage company operating a popular regional restaurant chain,Medium,18000000,Food & Beverage,Active,2017/11/3,p013202
c000357,A018257,3581974,Medium Food & Beverage company operating a popular regional bistro chain,Medium,18000000,Food & Beverage,Active,2015/8/12,p014774
c000358,A018358,3862507,Medium Food & Beverage company operating a popular regional restaurant chain,Medium,18000000,Food & Beverage,Active,2015/11/8,p012745
c000359,A018359,3714628,Medium chain restaurant offering casual dining and catering services,Medium,18000000,Food & Beverage,Active,2017/11/8,p012760
c000360,A018460,1265934,Medium casual dining restaurant chain,Medium,15000000,Food & Beverage,Active,2015/7/22,p010960
c000361,A018461,1047286,Medium chain restaurant serving regional cuisine,Medium,25000000,Food & Beverage,Active,2018/11/7,p014087
c000362,A018562,4528071,Medium chain restaurant offering family dining and takeout,Medium,12000000,Food & Beverage,Active,2018/11/22,p012093
c000363,A018563,1739462,Large manufacturing company specializing in automotive parts,Large,125000000,Manufacturing,Active,1998/11/5,p016380
c000364,A018664,1047286,Large wholesale business distributing industrial equipment and machinery parts,Large,125000000,Manufacturing,Active,2009/7/14,p012488
c000365,A018665,2793615,Medium retail chain specializing in consumer electronics and home appliances,Medium,25000000,Retail,Active,2016/8/22,p010373
c000366,A018766,3186407,Medium Food & Beverage company operating a regional chain of casual dining restaurants,Medium,18500000,Food & Beverage,Active,2017/11/3,p017858
c000367,A018767,4381267,Medium chain restaurant offering casual dining and family meals,Medium,32000000,Food & Beverage,Active,2017/11/8,p009332
c000368,A018868,2198345,Medium-sized restaurant offering fast casual dining and takeaway,Medium,12000000,Food & Beverage,Active,2018/7/21,p010384
c000369,A018869,3071954,Medium chain restaurant specializing in Sichuan cuisine and hotpot,Medium,25000000,Food & Beverage,Active,2018/6/12,p010629
c000370,A018970,4175902,Medium-sized chain restaurant offering casual dining and local cuisine,Medium,20000000,Food & Beverage,Active,2016/8/22,p016353
c000371,A018971,2486137,"Small convenience store offering daily necessities, snacks, and beverages",Small,3200000,Retail,Active,2017/11/3,p009483
c000372,A019072,2198345,Medium restaurant chain specializing in regional cuisine,Medium,18000000,Food & Beverage,Active,2017/8/11,p018413
c000373,A019073,3581974,Medium Food & Beverage company operating a popular local restaurant chain,Medium,28000000,Food & Beverage,Active,2018/11/7,p016223
c000374,A019174,3186407,Medium Food & Beverage company operating a popular regional restaurant chain,Medium,15000000,Food & Beverage,Active,2017/11/8,p009670
c000375,A019175,5039472,Medium-sized Food & Beverage company operating a regional chain of sit-down family restaurants,Medium,15000000,Food & Beverage,Active,2017/11/8,p016076
c000376,A019276,1398427,Medium Food & Beverage company operating a regional chain of hot pot restaurants,Medium,18000000,Food & Beverage,Active,2018/7/11,p011398
c000377,A019277,4175902,Medium chain restaurant offering casual dining and takeaway services,Medium,12000000,Food & Beverage,Active,2018/5/20,p016289
c000378,A019378,1739462,Medium chain of family restaurants offering traditional cuisine and casual dining,Medium,15000000,Food & Beverage,Active,2017/11/8,p012650
c000379,A019379,1527806,Medium chain restaurant specializing in regional Chinese cuisine,Medium,15000000,Food & Beverage,Active,2015/8/22,p017063
c000380,A019480,4381267,Medium chain of casual dining restaurants,Medium,15000000,Food & Beverage,Active,2015/8/10,p012177
c000381,A019481,5472906,Medium Food & Beverage company operating a popular regional restaurant chain,Medium,18000000,Food & Beverage,Active,2016/11/8,p013081
c000382,A019582,5472906,"Small convenience store offering snacks, drinks, and daily essentials",Small,2800000,Retail,Active,2019/11/8,p011272
c000383,A019583,2046713,Medium restaurant chain specializing in regional cuisine,Medium,18000000,Food & Beverage,Active,2017/11/22,p013056
c000384,A019684,4175902,Medium Food & Beverage company operating a regional chain of casual dining restaurants,Medium,15000000,Food & Beverage,Active,2018/5/22,p015575
c000385,A019685,1739462,Medium Food & Beverage company operating a popular chain of casual dining restaurants,Medium,25000000,Food & Beverage,Active,2018/5/10,p018722
c000386,A019786,4027316,"Small retail convenience store offering snacks, beverages, and daily necessities",Small,3500000,Retail,Active,2018/7/12,p015015
c000387,A019787,1047286,"Small urban convenience store selling snacks, drinks, and daily essentials",Small,2000000,Retail,Active,2021/8/23,p015553
c000388,A019888,2793615,Medium chain restaurant specializing in Sichuan cuisine and dine-in service,Medium,15000000,Food & Beverage,Active,2017/8/22,p011145
c000389,A019889,5039472,Medium restaurant chain offering casual dining and catering services,Medium,15000000,Food & Beverage,Active,2017/8/11,p014480
c000390,A019990,3468205,Medium chain of casual dining restaurants,Medium,18000000,Food & Beverage,Active,2016/7/22,p012129
c000391,A019991,1265934,Medium restaurant chain specializing in regional Chinese cuisine,Medium,15000000,Food & Beverage,Active,2014/7/9,p011239
c000392,A020092,2046713,Medium food and beverage company operating a chain of casual dining restaurants,Medium,20000000,Food & Beverage,Active,2018/5/10,p012947
c000393,A020093,1739462,Medium Food & Beverage company operating a popular family restaurant,Medium,20000000,Food & Beverage,Active,2017/8/12,p018151
c000394,A020194,4871609,Medium chain store specializing in sporting goods and apparel,Medium,25000000,Retail,Active,2017/11/22,p019776
c000395,A020195,5039472,Medium Food & Beverage company operating a regional chain of casual dining restaurants,Medium,28000000,Food & Beverage,Active,2015/8/12,p013705
c000396,A020296,1527806,Medium Food & Beverage company operating a popular family restaurant chain,Medium,20000000,Food & Beverage,Active,2015/8/22,p014359
c000397,A020297,2793615,Medium-sized restaurant chain offering casual dining and family meals,Medium,12000000,Food & Beverage,Active,2016/11/23,p018673
c000398,A020398,2198345,Medium Food & Beverage company operating a popular regional chain of hot pot restaurants,Medium,25000000,Food & Beverage,Active,2017/11/8,p013673
c000399,A020399,2198345,Medium Food & Beverage company operating a chain of fast-casual noodle restaurants,Medium,12500000,Food & Beverage,Active,2018/11/22,p016442
c000400,A020500,2046713,Medium restaurant chain offering casual dining and regional cuisine,Medium,25000000,Food & Beverage,Active,2012/7/18,p011088
c000401,A020501,4871609,Medium Food & Beverage company operating a regional chain of casual dining restaurants,Medium,18500000,Food & Beverage,Active,2015/11/3,p018809
c000402,A020602,5039472,Medium retail chain specializing in home goods and furniture,Medium,28000000,Retail,Active,2015/8/10,p019801
c000403,A020603,3862507,Small Food & Beverage company operating a popular food stall,Small,2000000,Food & Beverage,Active,2021/8/10,p019627
c000404,A020704,4528071,Medium local chain of casual dining restaurants,Medium,18000000,Food & Beverage,Active,2016/8/11,p017382
c000405,A020705,1265934,Medium chain restaurant offering fast casual Asian cuisine,Medium,25000000,Food & Beverage,Active,2018/6/14,p014511
c000406,A020806,2486137,Medium chain store specializing in sporting goods and apparel,Medium,12000000,Retail,Active,2017/8/12,p014604
c000407,A020807,2947806,Medium Food & Beverage company operating a popular chain of family restaurants,Medium,15000000,Food & Beverage,Active,2015/8/22,p013682
c000408,A020908,1527806,Medium chain restaurant serving casual family meals and takeaway,Medium,22000000,Food & Beverage,Active,2015/11/8,p012764
c000409,A020909,4027316,Medium Food & Beverage company operating a chain of ramen restaurants,Medium,20000000,Food & Beverage,Active,2017/8/22,p017316
c000410,A021010,5286314,Medium chain restaurant offering casual dining and takeaway,Medium,18000000,Food & Beverage,Active,2017/8/12,p016421
c000411,A021011,3714628,Medium chain restaurant offering casual dining and takeaway,Medium,12000000,Food & Beverage,Active,2017/4/22,p010784
c000412,A021112,2367901,Medium restaurant chain offering casual dining and takeaway,Medium,20000000,Food & Beverage,Active,2017/8/14,p010977
c000413,A021113,5472906,Medium Food & Beverage company operating a regional chain of casual dining restaurants,Medium,25000000,Food & Beverage,Active,2014/8/22,p014595
c000414,A021214,1872056,Medium Food & Beverage company operating a chain of casual dining restaurants,Medium,20000000,Food & Beverage,Active,2015/7/12,p015054
c000415,A021215,1265934,Medium chain restaurant providing Chinese cuisine and family dining,Medium,28000000,Food & Beverage,Active,2017/11/8,p014758
c000416,A021316,3295718,Medium restaurant chain specializing in regional cuisine,Medium,28000000,Food & Beverage,Active,2018/5/11,p012970
c000417,A021317,5286314,Large manufacturing company specializing in automotive parts,Large,120000000,Manufacturing,Active,2012/11/8,p019380
c000418,A021418,1398427,Medium restaurant specializing in regional Chinese cuisine and banquet services,Medium,15000000,Food & Beverage,Active,2017/11/8,p020735
c000419,A021419,1739462,Small Food & Beverage business operating as a family-run noodle stall,Small,1200000,Food & Beverage,Active,2018/11/3,p013470
c000420,A021520,4693725,Medium chain restaurant offering casual dining and takeout,Medium,15000000,Food & Beverage,Active,2018/6/10,p013283
c000421,A021521,1398427,Medium Food & Beverage company operating a chain of casual dining restaurants,Medium,15000000,Food & Beverage,Active,2015/7/22,p014736
c000422,A021622,3581974,Medium chain restaurant offering casual dining and bar services,Medium,15000000,Food & Beverage,Active,2018/6/10,p016379
c000423,A021623,2486137,Medium chain restaurant serving regional cuisine,Medium,18000000,Food & Beverage,Active,2016/8/22,p013487
c000424,A021724,5472906,Medium chain restaurant offering casual dining and group meals,Medium,32000000,Food & Beverage,Active,2015/11/8,p012740
c000425,A021725,5472906,Medium Food & Beverage company operating a chain of casual dining restaurants,Medium,15000000,Food & Beverage,Active,2015/7/20,p019162
c000426,A021826,1398427,Medium Food & Beverage company operating a popular regional coffee shop chain,Medium,18000000,Food & Beverage,Active,2016/8/12,p019032
c000427,A021827,3186407,Medium Food & Beverage company operating a popular sit-down restaurant,Medium,12000000,Food & Beverage,Active,2015/7/10,p021211
c000428,A021928,4871609,Medium Food & Beverage company operating a popular regional restaurant chain,Medium,18500000,Food & Beverage,Active,2016/7/11,p019668
c000429,A021929,1872056,Medium Food & Beverage company operating a popular family restaurant chain,Medium,25000000,Food & Beverage,Active,2015/8/12,p011514
c000430,A022030,5039472,Medium Food & Beverage company operating a popular sushi restaurant chain,Medium,20000000,Food & Beverage,Active,2017/5/12,p020161
c000431,A022031,1872056,Medium chain restaurant serving regional Chinese cuisine,Medium,28000000,Food & Beverage,Active,2017/8/11,p017719
c000432,A022132,1265934,Medium chain restaurant offering regional cuisine and family dining,Medium,12000000,Food & Beverage,Active,2017/8/22,p018565
c000433,A022133,3186407,Medium chain restaurant offering casual dining and takeaway services,Medium,15000000,Food & Beverage,Active,2015/8/22,p021205
c000434,A022234,1527806,Medium Food & Beverage company operating a chain of casual dining restaurants,Medium,20000000,Food & Beverage,Active,2018/5/10,p019222
c000435,A022235,3581974,Medium-sized restaurant chain offering casual dining and takeaway,Medium,15000000,Food & Beverage,Active,2018/11/22,p013425
c000436,A022336,1398427,Medium Food & Beverage company operating a chain of casual dining restaurants,Medium,28000000,Food & Beverage,Active,2017/8/11,p013186
c000437,A022337,3186407,Medium Food & Beverage company operating a chain of casual dining restaurants,Medium,20000000,Food & Beverage,Active,2018/6/10,p015299
c000438,A022438,1683509,Medium Food & Beverage company operating a regional chain of hotpot restaurants,Medium,20000000,Food & Beverage,Active,2016/11/8,p017967
c000439,A022439,1739462,Medium Food & Beverage company operating a regional chain of casual dining restaurants,Medium,18500000,Food & Beverage,Active,2017/9/22,p016182
c000440,A022540,3862507,Medium chain of casual dining restaurants,Medium,20000000,Food & Beverage,Active,2015/8/22,p012654
c000441,A022541,3862507,Medium-sized chain restaurant specializing in regional Chinese cuisine,Medium,15000000,Food & Beverage,Active,2017/8/14,p012615
c000442,A022642,1527806,Medium chain store specializing in health and wellness products,Medium,18000000,Retail,Active,2017/9/22,p020046
c000443,A022643,4528071,Medium chain restaurant offering premium seafood and steaks,Medium,18500000,Food & Beverage,Active,2015/11/22,p015227
c000444,A022744,3581974,Medium Food & Beverage company operating a regional chain of family-style restaurants,Medium,15000000,Food & Beverage,Active,2016/9/18,p018787
c000445,A022745,2486137,Medium chain restaurant specializing in regional Chinese cuisine,Medium,15000000,Food & Beverage,Active,2015/8/22,p019118
c000446,A022846,4528071,Medium chain restaurant serving regional cuisine and beverages,Medium,18000000,Food & Beverage,Active,2018/11/22,p015138
c000447,A022847,3186407,Medium-sized Food & Beverage company operating a popular family-style restaurant chain,Medium,18000000,Food & Beverage,Active,2012/7/11,p018750
c000448,A022948,3186407,Medium Food & Beverage company operating a chain of quick-service restaurants,Medium,12000000,Food & Beverage,Active,2015/8/12,p014181
c000449,A022949,4528071,Medium chain of casual dining restaurants specializing in regional cuisine,Medium,18000000,Food & Beverage,Active,2015/7/22,p016949
c000450,A023050,1398427,Medium Food & Beverage company operating a chain of casual dining restaurants,Medium,15000000,Food & Beverage,Active,2015/8/22,p013291
c000451,A023051,5472906,Large manufacturing company producing industrial machinery components,Large,125000000,Manufacturing,Active,2008/11/7,p017165
c000452,A023152,2486137,Medium Food & Beverage company operating a full-service Italian restaurant,Medium,12000000,Food & Beverage,Active,2016/9/10,p017182
c000453,A023153,5286314,Medium chain restaurant offering casual dining and takeaway service,Medium,15000000,Food & Beverage,Active,2015/11/3,p019975
c000454,A023254,1872056,Medium chain of boutique cafes offering specialty coffee and light meals,Medium,15000000,Food & Beverage,Active,2017/8/22,p013133
c000455,A023255,3071954,Medium chain restaurant offering fast casual dining and catering,Medium,15000000,Food & Beverage,Active,2015/7/22,p019162
c000456,A023356,3071954,Medium casual dining chain restaurant offering Asian-fusion cuisine,Medium,18000000,Food & Beverage,Active,2017/11/8,p013256
c000457,A023357,2198345,Medium restaurant chain specializing in regional cuisine,Medium,15000000,Food & Beverage,Active,2017/8/11,p013876
c000458,A023458,5039472,Medium chain store specializing in home improvement and gardening supplies,Medium,35000000,Retail,Active,2015/8/22,p015569
c000459,A023459,1683509,"Small convenience store offering daily necessities, snacks, and beverages",Small,2800000,Retail,Active,2019/7/11,p022011
c000460,A023560,4175902,Medium chain restaurant offering casual dining and fast food,Medium,20000000,Food & Beverage,Active,2015/8/22,p017954
c000461,A023561,5472906,Medium regional chain of casual dining restaurants,Medium,20000000,Food & Beverage,Active,2015/7/22,p018567
c000462,A023562,4027316,Medium Food & Beverage chain restaurant,Medium,18500000,Food & Beverage,Active,2015/8/11,p016289
c000463,A023663,1683509,Medium chain restaurant specializing in regional Chinese cuisine,Medium,18500000,Food & Beverage,Active,2017/8/12,p020917
c000464,A023664,2947806,Medium regional chain of casual dining restaurants,Medium,15000000,Food & Beverage,Active,2016/8/10,p017313
c000465,A023665,4381267,Medium chain restaurant offering family dining and catering services,Medium,12500000,Food & Beverage,Active,2017/8/14,p017680
c000466,A023766,1872056,Medium Food & Beverage company operating a popular regional bakery and cafe chain,Medium,12000000,Food & Beverage,Active,2017/11/8,p019107
c000467,A023767,2367901,Small Food & Beverage company operating a local noodle stall,Small,2000000,Food & Beverage,Active,2019/7/11,p023091
c000468,A023768,3714628,Medium-sized chain restaurant offering fast casual dining,Medium,20000000,Food & Beverage,Active,2018/7/10,p014433
c000469,A023869,1398427,Medium Food & Beverage company operating a regional chain of fast-casual noodle restaurants,Medium,15000000,Food & Beverage,Active,2017/11/8,p020683
c000470,A023870,1047286,Small convenience store providing daily necessities and snacks,Small,1800000,Retail,Active,2019/8/12,p018458
c000471,A023871,2198345,Medium regional chain of casual dining restaurants,Medium,22000000,Food & Beverage,Active,2016/8/10,p018278
c000472,A023972,1398427,Medium-sized regional supermarket chain focused on groceries and household goods,Medium,25000000,Retail,Active,2012/7/14,p021958
c000473,A023973,2486137,Medium Food & Beverage company operating a chain of casual dining restaurants,Medium,18000000,Food & Beverage,Active,2015/11/8,p021143
c000474,A023974,5039472,Medium Food & Beverage company operating a chain of fast-casual noodle shops,Medium,18000000,Food & Beverage,Active,2017/8/22,p020633
c000475,A024075,2793615,Medium restaurant chain specializing in Sichuan cuisine,Medium,20000000,Food & Beverage,Active,2018/5/22,p021932
c000476,A024076,1739462,Medium chain restaurant company offering casual dining and delivery,Medium,28000000,Food & Beverage,Active,2017/11/8,p016507
c000477,A024077,1739462,Medium Food & Beverage chain restaurant offering casual dining,Medium,15000000,Food & Beverage,Active,2018/11/22,p021167
c000478,A024178,5039472,Medium restaurant chain specializing in regional cuisine,Medium,20000000,Food & Beverage,Active,2015/7/22,p021602
c000479,A024179,3862507,Medium-sized chain restaurant offering casual dining and family meals,Medium,18000000,Food & Beverage,Active,2017/8/22,p017907
c000480,A024180,2486137,Small Food & Beverage company operating a popular noodle stall,Small,2000000,Food & Beverage,Active,2018/5/10,p021514
c000481,A024281,2367901,Medium Food & Beverage company operating a regional chain of family-style restaurants,Medium,18000000,Food & Beverage,Active,2017/8/22,p021359
c000482,A024282,1739462,"Small local cafe and bakery offering coffee, pastries, and light meals",Small,1800000,Food & Beverage,Active,2019/11/8,p021118
c000483,A024283,2198345,Medium chain restaurant specializing in fast casual dining,Medium,15000000,Food & Beverage,Active,2018/6/10,p021011
c000484,A024384,1398427,Medium Food & Beverage chain restaurant serving regional cuisine,Medium,15000000,Food & Beverage,Active,2015/7/22,p018991
c000485,A024385,2486137,Medium Food & Beverage company operating a full-service restaurant,Medium,15000000,Food & Beverage,Active,2018/7/22,p022569
c000486,A024386,3186407,Large manufacturing company specializing in automotive parts,Large,125000000,Manufacturing,Active,2010/7/12,p017809
c000487,A024487,1739462,Medium Food & Beverage company operating a popular regional steakhouse chain,Medium,18000000,Food & Beverage,Active,2017/8/22,p023005
c000488,A024488,4381267,Medium Food & Beverage company operating a regional chain of casual dining restaurants,Medium,18500000,Food & Beverage,Active,2018/6/22,p016248
c000489,A024489,5039472,Large manufacturing company specializing in automotive parts,Large,120000000,Manufacturing,Active,2008/11/4,p022939
c000490,A024590,1683509,Medium chain of casual dining restaurants specializing in regional cuisine,Medium,25000000,Food & Beverage,Active,2015/8/10,p023850
c000491,A024591,1265934,Medium Food & Beverage company operating a regional chain of casual dining restaurants,Medium,25000000,Food & Beverage,Active,2017/8/22,p015965
c000492,A024592,4871609,Medium chain restaurant specializing in Sichuan cuisine,Medium,15000000,Food & Beverage,Active,2017/8/23,p018996
c000493,A024693,1527806,Medium chain restaurant offering regional cuisine and family dining,Medium,25000000,Food & Beverage,Active,2016/8/22,p021410
c000494,A024694,2657408,"Small convenience store selling snacks, drinks, and basic groceries",Small,1500000,Retail,Active,2018/11/22,p022736
c000495,A024695,4027316,Medium Food & Beverage company operating a regional chain of fast-casual noodle restaurants,Medium,20000000,Food & Beverage,Active,2017/8/14,p019235
c000496,A024796,1527806,Small Food & Beverage company operating a local cafe,Small,2500000,Food & Beverage,Active,2018/5/20,p020358
c000497,A024797,2947806,Small Food & Beverage company operating a family-run noodle stall,Small,3200000,Food & Beverage,Active,2019/7/22,p017245
c000498,A024798,5472906,Medium chain restaurant offering casual dining and delivery services,Medium,15000000,Food & Beverage,Active,2017/8/22,p015000
c000499,A024899,3468205,Medium Food & Beverage company operating a regional chain of hot pot restaurants,Medium,18000000,Food & Beverage,Active,2015/11/8,p022091
c000500,A024900,3581974,Medium Food & Beverage company operating a regional chain of casual dining restaurants,Medium,25000000,Food & Beverage,Active,2015/8/12,p019611
c000501,A024901,3714628,Medium chain restaurant offering regional Chinese cuisine,Medium,12500000,Food & Beverage,Active,2015/8/22,p019024
c000502,A025002,3186407,Medium-sized restaurant offering local cuisine and banquet services,Medium,20000000,Food & Beverage,Active,2018/11/23,p015838
c000503,A025003,1739462,Medium Food & Beverage company operating a chain of casual dining restaurants,Medium,28000000,Food & Beverage,Active,2017/11/8,p015538
c000504,A025004,3581974,Medium-sized Food & Beverage company operating a regional chain of casual dining restaurants,Medium,18000000,Food & Beverage,Active,2016/8/11,p018210
c000505,A025105,1683509,Medium Food & Beverage company operating a full-service restaurant,Medium,15000000,Food & Beverage,Active,2018/7/10,p017441
c000506,A025106,3295718,"Small family-owned cafe serving coffee, pastries, and light meals",Small,1800000,Food & Beverage,Active,2019/5/14,p020777
c000507,A025107,1398427,Medium-sized retail chain specializing in home goods and appliances,Medium,35000000,Retail,Active,2015/8/22,p019048
c000508,A025208,1527806,Medium chain of sit-down restaurants offering casual dining,Medium,15000000,Food & Beverage,Active,2015/7/22,p017186
c000509,A025209,4871609,Medium regional chain of family restaurants,Medium,35000000,Food & Beverage,Active,2015/11/3,p021557
c000510,A025210,1683509,Medium Food & Beverage company operating a chain of family-style restaurants,Medium,12500000,Food & Beverage,Active,2018/5/22,p017967
c000511,A025311,3186407,Medium-sized chain restaurant specializing in Sichuan cuisine,Medium,20000000,Food & Beverage,Active,2015/8/22,p022334
c000512,A025312,3714628,Medium Food & Beverage company operating a chain of coffee shops,Medium,15000000,Food & Beverage,Active,2018/6/10,p018362
c000513,A025313,3862507,Medium chain store specializing in home appliances and electronics,Medium,18500000,Retail,Active,2015/8/10,p024328
c000514,A025414,4693725,Medium-sized local restaurant chain specializing in traditional cuisine,Medium,28000000,Food & Beverage,Active,2015/8/12,p016516
c000515,A025415,3468205,Medium chain restaurant offering regional cuisine and casual dining,Medium,18000000,Food & Beverage,Active,2017/8/22,p022068
c000516,A025416,4175902,Medium chain restaurant offering casual dining and takeaway,Medium,20000000,Food & Beverage,Active,2015/7/22,p015161
c000517,A025517,2046713,Medium Food & Beverage company operating a regional chain of fast-casual noodle restaurants,Medium,12000000,Food & Beverage,Active,2016/8/12,p023653
c000518,A025518,2657408,Medium restaurant chain specializing in Sichuan cuisine,Medium,18000000,Food & Beverage,Active,2016/8/10,p021408
c000519,A025519,3581974,Medium chain restaurant specializing in Sichuan cuisine,Medium,18000000,Food & Beverage,Active,2017/8/14,p024707
c000520,A025620,3581974,Medium-sized chain restaurant serving regional Chinese cuisine,Medium,20000000,Food & Beverage,Active,2015/8/22,p024569
c000521,A025621,2046713,Medium chain restaurant offering traditional Chinese cuisine,Medium,18000000,Food & Beverage,Active,2016/8/12,p024785
c000522,A025622,4027316,Large wholesale business specializing in industrial component distribution,Large,125000000,Manufacturing,Active,2010/11/7,p020956
c000523,A025723,1398427,Medium Food & Beverage company operating a popular regional noodle restaurant chain,Medium,15000000,Food & Beverage,Active,2017/8/10,p016484
c000524,A025724,3468205,Medium chain restaurant offering regional cuisine and catering services,Medium,12500000,Food & Beverage,Active,2015/8/12,p024486
c000525,A025725,2198345,Medium chain restaurant offering fast-casual Asian cuisine,Medium,18000000,Food & Beverage,Active,2017/11/8,p018732
c000526,A025826,2947806,Medium-sized restaurant chain offering casual dining and catering services,Medium,28000000,Food & Beverage,Active,2017/11/8,p017069
c000527,A025827,4528071,Medium chain restaurant specializing in regional Chinese cuisine,Medium,12000000,Food & Beverage,Active,2018/7/12,p021963
c000528,A025828,1527806,Small Food & Beverage business operating a popular street food stall,Small,2800000,Food & Beverage,Active,2021/5/18,p023535
c000529,A025929,3714628,Large manufacturing company specializing in automotive parts,Large,125000000,Manufacturing,Active,2012/7/23,p020594
c000530,A025930,1265934,Medium Food & Beverage company operating a chain of family-style restaurants,Medium,15000000,Food & Beverage,Active,2018/11/7,p023763
c000531,A025931,4175902,Medium Food & Beverage company operating a popular regional restaurant chain,Medium,15000000,Food & Beverage,Active,2016/8/23,p023825
c000532,A026032,1872056,Medium Food & Beverage company operating a regional chain of casual dining restaurants,Medium,18000000,Food & Beverage,Active,2018/5/11,p021650
c000533,A026033,2198345,Medium chain restaurant offering casual dining and family meals,Medium,20000000,Food & Beverage,Active,2017/11/8,p018040
c000534,A026034,2657408,Medium chain of restaurants specializing in regional Chinese cuisine,Medium,20000000,Food & Beverage,Active,2016/8/22,p024854
c000535,A026135,4528071,Medium chain restaurant offering casual dining and takeaway,Medium,18000000,Food & Beverage,Active,2018/5/22,p025492
c000536,A026136,1872056,Medium Food & Beverage company operating a chain of casual dining restaurants,Medium,15000000,Food & Beverage,Active,2015/8/22,p024115
c000537,A026137,4871609,Medium restaurant chain specializing in regional Chinese cuisine,Medium,18000000,Food & Beverage,Active,2017/8/22,p017358
c000538,A026238,1872056,Small Food & Beverage company operating a popular noodle stall,Small,2800000,Food & Beverage,Active,2019/7/12,p019402
c000539,A026239,4381267,Medium retail chain store specializing in home appliances and electronics,Medium,18000000,Retail,Active,2017/11/8,p016286
c000540,A026240,3186407,"Small Food & Beverage company operating a single, popular street food stall",Small,2000000,Food & Beverage,Active,2018/7/12,p025392
c000541,A026341,2793615,Medium chain coffee shop offering specialty beverages and light snacks,Medium,12500000,Food & Beverage,Active,2016/8/10,p018163
c000542,A026342,2046713,Medium Food & Beverage chain restaurant offering casual dining,Medium,15000000,Food & Beverage,Active,2016/11/3,p020810
c000543,A026343,3862507,Medium chain restaurant specializing in Sichuan cuisine,Medium,12000000,Food & Beverage,Active,2017/8/22,p016620
c000544,A026444,4528071,Large wholesale business specializing in electronic components distribution,Large,185000000,Manufacturing,Active,2012/7/19,p019570
c000545,A026445,1683509,Medium Food & Beverage company operating a chain of casual dining restaurants,Medium,25000000,Food & Beverage,Active,2016/8/10,p021279
c000546,A026446,1683509,Small cafe specializing in artisanal coffee and pastries,Small,2000000,Food & Beverage,Active,2019/8/5,p017473
c000547,A026547,1047286,Large manufacturing company producing industrial machinery components,Large,125000000,Manufacturing,Active,2008/11/3,p017323
